Venue,Cluster_Assignment
 Emerald Heights International School Ground,1
"7he Sevens Stadium, Dubai",1
"ACA Stadium, Barsapara",1
"ACA Stadium,Mangalagiri",1
AMI Stadium,1
"Abhimanyu Cricket Academy, Dehradun",1
Abu Dhabi Oval 1,1
Abu Dhabi Oval 2,1
"Achimota Senior Secondary School A Field, Accra",1
"Achimota Senior Secondary School B Field, Accra",1
Adelaide Oval,-1
Adelaide Oval No. 2,1
Affies Park,-1
Aigburth,1
"Aigburth, Liverpool",-1
"Airforce Complex ground, Palam",1
"Airforce Complex ground, Palam II",1
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),-1
Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),1
Al Dhaid Cricket Village,1
Albert Park 1,1
Albert Park 2,1
Alembic 1 Cricket Ground,1
Alembic 2  Cricket Ground,1
Allan Border Field,-1
"Allan Border Field, Brisbane",1
Alur Cricket Stadium,1
Alur Cricket Stadium II,1
Alur Cricket Stadium III,-1
Amini Park,-1
"Amini Park, Port Moresby",-1
Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,-1
Antigua Recreation Ground,-1
"Antigua Recreation Ground, St John's",-1
"Antigua Recreation Ground, St John's, Antigua",-1
Arbab Niaz Stadium,-1
Arnos Vale Ground,-1
"Arnos Vale Ground, Kingstown",-1
"Arnos Vale Ground, Kingstown, St Vincent",1
Arun Jaitley Stadium,1
"Arun Jaitley Stadium, Delhi",1
Arundel Castle Cricket Club Ground,-1
Asgiriya Stadium,-1
Ashlyns Road,-1
Asian Institute of Technology Ground,1
Aurora Stadium,1
"Aurora Stadium, Launceston",1
BKC Ground,1
Bangabandhu National Stadium,-1
"Bangabandhu National Stadium, Dhaka",-1
Bankstown Oval,1
"Bankstown Oval, Sydney",-1
Barabati Stadium,1
"Barabati Stadium, Cuttack",-1
Barsapara Cricket Stadium,-1
"Barsapara Cricket Stadium, Guwahati",1
Basin Reserve,1
"Basin Reserve, Wellington",-1
Bay Oval,-1
"Bay Oval, Mount Maunganui",-1
Bayer Uerdingen Cricket Ground,1
Bayuemas Oval,1
"Bayuemas Oval, Kuala Lumpur",1
"Beausejour Stadium, Gros Islet",-1
"Belgrano Athletic Club Ground, Buenos Aires",1
Bellerive Oval,-1
"Bellerive Oval, Hobart",1
Bermuda National Stadium,1
Bert Sutcliffe Oval,-1
"Bert Sutcliffe Oval, Lincoln",-1
Bharat Ratna Shri Atal Bihari Vajpai Ekana Cricket Stadium,-1
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,-1
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium B,1
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",-1
Blacktown International Sportspark,1
"Blacktown International Sportspark, Sydney",1
Boland Bank Park,-1
"Boland Bank Park, Paarl",-1
Boland Park,-1
"Boland Park, Paarl",1
Botswana Cricket Association Oval 1,1
"Botswana Cricket Association Oval 1, Gaborone",1
Botswana Cricket Association Oval 2,1
"Botswana Cricket Association Oval 2, Gaborone",1
"Boughton Hall Cricket Club Ground, Chester",-1
Brabourne Stadium,-1
"Brabourne Stadium, Mumbai",1
Bradman Oval,-1
"Bradman Oval, Bowral",1
Bready,1
"Bready Cricket Club, Magheramason",1
"Bready Cricket Club, Magheramason, Bready",-1
"Brian Lara Stadium, Tarouba",1
"Brian Lara Stadium, Tarouba, Trinidad",1
Brisbane Cricket Ground,1
"Brisbane Cricket Ground, Woolloongabba",-1
"Brisbane Cricket Ground, Woolloongabba, Brisbane",1
"Brunton Memorial Ground, Radlett",1
Buffalo Park,-1
"Buffalo Park, East London",-1
Bulawayo Athletic Club,-1
"Bundaberg Rum Stadium, Cairns",-1
C B Patel Ground,1
Camberwell Sports Ground,1
Cambusdoon New Ground,-1
"Cambusdoon New Ground, Ayr",-1
"Campbell Park, Milton Keynes",-1
Canterbury Park,-1
Captain Roop Singh Stadium,-1
"Captain Roop Singh Stadium, Gwalior",-1
Carisbrook,-1
Carrara Oval,1
"Casey Fields No 4, Melbourne",1
Casey Fields No. 4,1
Castle Avenue,-1
"Castle Avenue, Dublin",-1
Castle Park Cricket Ground,-1
"Castle Park Cricket Ground, Colchester",0
Cazaly's Stadium,1
"Cazaly's Stadium, Cairns",-1
Cello Basin Reserve,1
Central Broward Regional Park Stadium Turf Ground,1
"Central Broward Regional Park Stadium Turf Ground, Lauderhill",1
"Centre for Cricket Development Ground, Windhoek",1
Centro Sportivo Ca'Nova,-1
Centro Sportivo Dozza,-1
Chaudhry Bansi Lal Cricket Stadium,1
"Chester Road North Ground, Kidderminster",-1
